date,Number of Appliances,lights,Energy used,Kitchen Temperature (in celsicus),Kitchen Humidity,Living Room Temerature (in celsius),Living room Humidity,Laundry Temperature (in celsius),Laundry Humidity,Office room Temperature (in celsius),Office room Humidity,Bathroom Temperature (in celsius),Bathroom Humidity,Temperature outside building (North side),Humidity outside building (North side),Ironing Room Temperature,Ironing Room Humidity,Teenager room temperature,teenager room humidity,Parent room Temperature,Temperature Outside,Pressure in mm Hg,Humidity Outside,Windspeed,Visibility,Tdewpoint,Random variable 1,non dimensional random variable
1/11/2016 22:20,400,20,21.6,44.77,20.89,44.23,20.5,45.94,19.7,47.63,19.1,53.37,5.84,85.77,17.79,43.03,19.39,48.87,16.89,44.59,5.70E+00,735.97,87.67,6.34,40,3.73E+00,24.68,24.68
1/11/2016 22:30,390,30,21.6,44.56,20.97,43.97,20.5,45.79,20.1,47.57,19.16,52.48,5.9,85.04,17.79,42.76,19.39,48.87,16.89,44.53,5.75E+00,736.05,87.5,6.5,40,3.75E+00,9.32,9.32
1/11/2016 22:40,240,20,21.6,44.36,21,43.84,20.5,45.73,20.6,47.23,19.2,51.99,6,84.13,17.79,42.63,19.34,48.95,16.83,44.44,5.80E+00,736.14,87.34,6.67,40,3.77E+00,41.37,41.37
1/11/2016 22:50,60,20,21.6,44.2,21,43.7,20.5,45.59,21,47.03,19.23,51.52,6,84.06,17.7,42.63,19.29,49.23,16.89,44.5,5.85E+00,736.22,87.17,6.84,40,3.78E+00,33.43,33.43
1/11/2016 23:00,60,20,21.6,44.2,21,43.59,20.42,45.55,21.17,46.53,19.29,51.23,5.97,84.79,17.7,42.76,19.36,49.43,16.89,44.5,5.90E+00,736.3,87,7,40,3.80E+00,39.72,39.72
1/11/2016 23:10,60,20,21.6,44.2,21,43.59,20.39,45.67,21.04,46.4,19.29,51.06,5.9,85.6,17.7,43.03,19.39,49.89,16.89,45.07,5.80E+00,736.4,87.84,6.84,37,3.85E+00,5.4,5.4
1/11/2016 23:20,50,10,21.6,44.2,21,43.7,20.29,45.73,20.97,46.44,19.29,50.94,5.77,86.26,17.7,43.17,19.39,50.17,16.89,45.26,5.70E+00,736.5,88.67,6.67,34,3.90E+00,36.19,36.19
1/11/2016 23:30,70,20,21.5,44.23,20.93,43.76,20.29,45.79,20.87,46.57,19.29,50.87,5.63,86.6,17.7,43.4,19.39,50.47,16.89,45.44,5.60E+00,736.6,89.5,6.5,31,3.95E+00,20.57,20.57
1/11/2016 23:40,60,20,21.5,44.37,20.89,43.85,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.5,17.7,43.47,19.39,50.73,16.89,45.56,5.50E+00,736.7,90.34,6.34,28,4.00E+00,41.05,41.05
1/11/2016 23:50,40,20,21.39,44.44,20.79,43.79,20.23,45.66,20.7,46.79,19.2,50.67,5.59,87.9,17.7,43.63,19.39,50.97,16.89,45.63,5.40E+00,736.8,91.17,6.17,25,4.05E+00,32.36,32.36
1/12/2016 0:00,40,10,21.39,44.56,20.79,43.87,20.2,45.67,20.64,46.79,19.2,50.53,5.59,88.64,17.7,43.76,19.39,51.17,16.89,45.7,5.30E+00,736.9,92,6,22,4.10E+00,39.15,39.15
1/12/2016 0:10,30,20,21.29,44.83,20.7,44,20.2,45.59,20.57,46.94,19.2,50.5,5.53,89.03,17.7,43.94,19.47,51.5,16.89,45.79,5.27E+00,737,92,6,25,4.07E+00,27.66,27.66
1/12/2016 0:20,40,20,21.29,44.97,20.64,44,20.17,45.5,20.5,47.14,19.2,50.44,5.53,89.4,17.76,44.34,19.39,51.56,16.89,45.87,5.23E+00,737.1,92,6,28,4.03E+00,26.49,26.49
1/12/2016 0:30,50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.17,50.37,5.53,89.2,17.79,44.97,19.39,51.86,16.89,45.9,5.20E+00,737.2,92,6,31,4.00E+00,39.47,39.47
1/12/2016 0:40,310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.43,47.23,19.1,50.29,5.4,89.4,17.79,45.23,19.39,52,16.89,45.97,5.17E+00,737.3,92,6,34,3.97E+00,1.17,1.17
1/12/2016 0:50,380,20,21.17,45.23,20.5,44.13,20.1,45.5,20.46,47.36,19.07,50.26,5.2,88.99,17.79,45.33,19.36,52.09,16.89,46.03,5.13E+00,737.4,92,6,37,3.93E+00,23.87,23.87
1/12/2016 1:00,380,20,21.08,45.38,20.5,44.2,20.1,45.53,20.8,47.56,19,50.13,4.87,89.07,17.79,45.43,19.29,52.17,16.89,46.09,5.10E+00,737.5,92,6,40,3.90E+00,36.62,36.62
1/12/2016 1:10,370,20,21,45.4,20.39,44.2,20.1,45.59,21.27,47.47,19,50.09,4.94,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.12E+00,737.64,92,5.84,40,3.92E+00,34.64,34.64
1/12/2016 1:20,120,10,21,45.59,20.39,44.26,20.1,45.59,21.6,47.4,19,50.03,5,91.44,17.79,45.73,19.23,52.9,16.89,46.2,5.13E+00,737.77,92,5.67,40,3.93E+00,23.89,23.89
1/12/2016 1:30,50,0,20.93,45.59,20.29,44.29,20.17,45.53,21.89,46.97,19,50.03,4.87,91.26,17.79,45.87,19.29,53.5,16.89,46.29,5.15E+00,737.9,92,5.5,40,3.95E+00,43.07,43.07
1/12/2016 1:40,40,0,20.89,45.67,20.23,44.29,20.14,45.5,21.83,46.23,18.93,50.09,4.73,91.6,17.79,45.83,19.29,53.96,16.89,46.44,5.17E+00,738.04,92,5.34,40,3.97E+00,21.91,21.91
1/12/2016 1:50,50,0,20.89,46.06,20.2,44.4,20.2,45.5,21.67,46.06,18.89,50.09,4.47,91.76,17.79,45.97,19.29,54.47,16.89,46.64,5.18E+00,738.17,92,5.17,40,3.98E+00,12.24,12.24
1/12/2016 2:00,40,0,20.79,46.2,20.2,44.47,20.17,45.5,21.54,45.94,18.89,50.18,4.34,91.76,17.79,46,19.23,54.73,16.89,46.83,5.20E+00,738.3,92,5,40,4.00E+00,3.54,3.54
1/12/2016 2:10,50,0,20.79,46.2,20.1,44.53,20.13,45.43,21.36,45.9,18.89,50.2,4.16,91.84,17.79,46,19.2,54.97,16.97,46.97,5.13E+00,738.4,92,4.84,40,3.93E+00,4.98,4.98
1/12/2016 2:20,50,0,20.7,46.26,20.1,44.59,20.14,45.4,21.23,45.9,18.79,50.09,4.16,92.57,17.89,46,19.2,54.97,17,47.23,5.07E+00,738.5,92,4.67,40,3.87E+00,15.82,15.82
1/12/2016 2:30,50,0,20.7,46.2,20,44.44,20.2,45.5,21.07,45.9,18.79,50.09,4.34,93.53,17.89,46.06,19.2,54.9,17,47.37,5.00E+00,738.6,92,4.5,40,3.80E+00,25.94,25.94
1/12/2016 2:40,40,0,20.6,46.2,20,44.5,20.2,45.5,20.93,45.9,18.79,50.09,4.34,93.33,17.89,46.09,19.2,54.87,17,47.53,4.93E+00,738.7,92,4.34,40,3.73E+00,33.11,33.11
1/12/2016 2:50,40,0,20.6,46.13,20,44.5,20.2,45.4,20.75,45.9,18.73,50.09,4.19,93.13,17.83,45.97,19.14,54.79,17,47.67,4.87E+00,738.8,92,4.17,40,3.67E+00,20.35,20.35
1/12/2016 3:00,30,0,20.57,46.07,19.89,44.59,20.2,45.4,20.67,46,18.7,50.09,4.07,92.87,17.86,45.97,19.2,54.9,17,47.83,4.80E+00,738.9,92,4,40,3.60E+00,45.65,45.65
1/12/2016 3:10,20,0,20.5,46.2,19.83,44.53,20.29,45.47,20.54,46,18.7,50.09,3.87,92.97,17.86,45.97,19.2,54.97,17,47.9,4.82E+00,739.02,92.17,4.34,40,3.63E+00,14.69,14.69
1/12/2016 3:20,20,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.1,17.89,46.2,19.2,55.09,17,48.03,4.83E+00,739.14,92.34,4.67,40,3.67E+00,22.96,22.96
1/12/2016 3:30,40,0,20.43,46.23,19.79,44.53,20.2,45.4,20.39,46.17,18.64,50.03,3.9,94.05,17.89,46.2,19.2,55.03,17,48.09,4.85E+00,739.25,92.5,5,40,3.70E+00,16.62,16.62
1/12/2016 3:40,50,0,20.39,46.29,19.76,44.59,20.2,45.4,20.29,46.2,18.6,50,4.19,94.66,17.89,46.2,19.2,54.87,17.07,48.29,4.87E+00,739.37,92.67,5.34,40,3.73E+00,32.55,32.55
1/12/2016 3:50,50,0,20.39,46.37,19.7,44.59,20.2,45.5,20.23,46.26,18.6,50,4.27,94.8,17.89,46.13,19.2,54.73,17.07,48.37,4.88E+00,739.49,92.84,5.67,40,3.77E+00,12.91,12.91
1/12/2016 4:00,40,0,20.29,46.5,19.7,44.7,20.26,45.5,20.1,46.29,18.6,50,4.47,95.03,17.89,46.09,19.1,54.56,17.04,48.47,4.90E+00,739.6,93,6,40,3.80E+00,23.93,23.93
1/12/2016 4:10,50,0,20.29,46.55,19.64,44.63,20.29,45.5,20.04,46.29,18.54,50,4.59,95.03,17.89,45.92,19.1,54.5,17.04,48.59,4.92E+00,739.65,92.67,5.84,40,3.77E+00,38.32,38.32
1/12/2016 4:20,40,0,20.23,46.5,19.6,44.59,20.29,45.5,20,46.4,18.5,50,4.73,94.87,17.89,45.73,19.1,54.5,17.04,48.77,4.93E+00,739.7,92.34,5.67,40,3.73E+00,4.22,4.22
1/12/2016 4:30,40,0,20.2,46.44,19.6,44.59,20.29,45.5,19.93,46.47,18.5,50,4.8,94.73,17.89,45.7,19.1,54.5,17.04,48.9,4.95E+00,739.75,92,5.5,40,3.70E+00,43.77,43.77
1/12/2016 4:40,40,0,20.2,46.56,19.57,44.7,20.29,45.56,19.86,46.47,18.5,50,4.8,94.5,17.89,45.7,19.1,54.4,17.1,49.05,4.97E+00,739.8,91.67,5.34,40,3.67E+00,16.96,16.96
1/12/2016 4:50,60,0,20.17,46.37,19.5,44.7,20.29,45.59,19.79,46.47,18.5,50,4.8,94.23,17.89,45.59,19.1,54.4,17.1,49.2,4.98E+00,739.85,91.34,5.17,40,3.63E+00,41.98,41.98
1/12/2016 5:00,50,0,20.1,46.37,19.5,44.79,20.29,45.59,19.76,46.59,18.5,50,4.8,94.13,17.89,45.67,19.1,54.29,17.1,49.26,5.00E+00,739.9,91,5,40,3.60E+00,17.34,17.34
1/12/2016 5:10,50,0,20.1,46.5,19.43,44.73,20.29,45.59,19.7,46.67,18.48,49.98,4.8,94,17.89,45.59,19.1,54.23,17.1,49.29,4.98E+00,739.97,91.67,4.84,40,3.68E+00,16.69,16.69
1/12/2016 5:20,40,0,20.04,46.36,19.39,44.73,20.29,45.59,19.67,46.67,18.39,49.9,4.77,93.57,17.89,45.59,19.05,54.05,17.1,49.37,4.97E+00,740.04,92.34,4.67,40,3.77E+00,23.82,23.82
1/12/2016 5:30,40,0,20,46.29,19.39,44.79,20.36,45.59,19.6,46.59,18.39,49.9,4.77,94.03,17.89,45.63,19,54,17.1,49.44,4.95E+00,740.1,93,4.5,40,3.85E+00,44.61,44.61
1/12/2016 5:40,40,0,20,46.29,19.39,44.79,20.39,45.59,19.6,46.63,18.39,49.9,4.84,94.73,17.89,45.63,19.07,54,17.1,49.56,4.93E+00,740.17,93.67,4.34,40,3.93E+00,43.22,43.22
1/12/2016 5:50,40,0,20,46.23,19.39,44.79,20.33,45.59,19.6,46.7,18.39,49.9,4.84,95,17.89,45.59,19.1,53.9,17.1,49.63,4.92E+00,740.24,94.34,4.17,40,4.02E+00,19.5,19.5
1/12/2016 6:00,50,0,19.93,46.23,19.29,44.9,20.33,45.59,19.5,46.7,18.39,49.9,4.9,95.53,17.89,45.73,19.04,53.83,17.1,49.7,4.90E+00,740.3,95,4,40,4.10E+00,38.87,38.87
1/12/2016 6:10,70,10,19.89,46.23,19.29,44.93,20.33,45.59,19.5,46.7,18.36,49.94,5,95.82,17.89,45.9,19,53.79,17.1,49.83,4.93E+00,740.44,94.67,4.17,38.17,4.10E+00,48.04,48.04
1/12/2016 6:20,40,0,19.89,46.43,19.29,45,20.29,45.59,19.43,46.7,18.29,50,5.09,96.03,17.89,45.97,19,53.79,17.1,49.97,4.97E+00,740.57,94.34,4.34,36.34,4.10E+00,21.74,21.74
1/12/2016 6:30,30,0,19.89,46.63,19.29,45.13,20.29,45.59,19.39,46.7,18.29,50.13,5,95.9,17.89,45.9,19,53.76,17.14,50,5.00E+00,740.7,94,4.5,34.5,4.10E+00,35.63,35.63
1/12/2016 6:40,20,10,19.89,46.7,19.22,45.2,20.29,45.5,19.39,46.7,18.29,50.2,5,95.97,17.89,45.83,19,53.7,17.2,50,5.03E+00,740.84,93.67,4.67,32.67,4.10E+00,20,20
1/12/2016 6:50,30,0,19.89,46.87,19.2,45.25,20.29,45.44,19.29,46.79,18.29,50.23,4.97,95.94,17.89,45.73,19,53.88,17.2,50,5.07E+00,740.97,93.34,4.84,30.84,4.10E+00,16.27,16.27
1/12/2016 7:00,40,10,19.83,46.87,19.2,45.37,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.94,17.89,45.79,19,54,17.2,50,5.10E+00,741.1,93,5,29,4.10E+00,37.86,37.86
1/12/2016 7:10,50,10,19.86,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.43,4.94,96.09,17.89,45.87,19,54.06,17.2,50.09,5.10E+00,741.22,92.67,5,30.84,4.05E+00,10.14,10.14
1/12/2016 7:20,60,20,19.79,46.79,19.2,45.33,20.17,45.29,19.29,46.6,18.23,50.84,4.94,96.09,17.89,45.52,18.93,53.8,17.2,49.97,5.10E+00,741.34,92.34,5,32.67,4.00E+00,35.56,35.56
1/12/2016 7:30,60,20,19.79,46.9,19.18,45.2,20.1,45.29,19.26,46.3,18.2,51.27,5,96.09,17.89,45.14,18.98,53.15,17.2,49.73,5.10E+00,741.45,92,5,34.5,3.95E+00,6.09,6.09
1/12/2016 7:40,70,20,19.79,47.43,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.53,5,96.09,17.86,44.84,18.89,52.8,17.2,49.47,5.10E+00,741.57,91.67,5,36.34,3.90E+00,12.28,12.28
1/12/2016 7:50,60,30,19.79,48.37,19.1,45,20.1,45.29,19.17,45.97,18.1,51.83,5,96.09,17.79,44.57,18.86,52.37,17.15,49,5.10E+00,741.69,91.34,5,38.17,3.85E+00,7.17,7.17
1/12/2016 8:00,140,20,19.79,48.67,19.1,45,20.2,45.29,19.17,45.9,18.1,51.97,5.06,96.16,17.79,44.33,18.79,51.97,17.1,48.64,5.10E+00,741.8,91,5,40,3.80E+00,11.99,11.99
1/12/2016 8:10,110,30,19.79,48.54,19.07,45.06,20.14,45.29,19.2,45.76,18.1,52.13,5.09,96.03,17.86,44.66,18.79,51.64,17.1,48.36,5.05E+00,741.89,91,5,40,3.73E+00,2.95,2.95
1/12/2016 8:20,90,10,19.89,50,19.03,45.05,20.15,45.25,19.2,45.63,18.04,52.2,5.09,95.76,18,45.07,18.79,51.4,17.1,48.03,5.00E+00,741.97,91,5,40,3.67E+00,32.12,32.12
1/12/2016 8:30,60,0,19.89,48.74,19.1,45.2,20.1,45.2,19.1,45.53,18.05,52.4,5,95.46,18,44.46,18.7,51.05,17.1,47.77,4.95E+00,742.05,91,5,40,3.60E+00,43.82,43.82
1/12/2016 8:40,60,0,19.89,48.03,19.04,45.13,20.1,45.2,19.1,45.4,18,52.5,4.8,94.79,17.89,43.96,18.7,50.76,17.1,47.47,4.90E+00,742.14,91,5,40,3.53E+00,38.95,38.95
1/12/2016 8:50,60,0,19.89,47.64,19,45.09,20.1,45.2,19.1,45.37,18,52.56,4.47,94.2,17.89,43.57,18.7,50.65,17.04,47.27,4.85E+00,742.22,91,5,40,3.47E+00,39.87,39.87
1/12/2016 9:00,50,0,19.86,47.07,19,45.03,20.1,45.2,19.1,45.23,18,52.79,4.3,94.45,17.86,43.1,18.7,50.42,17,46.93,4.80E+00,742.3,91,5,40,3.40E+00,22.77,22.77
1/12/2016 9:10,60,0,19.79,46.66,19,44.97,20.1,45.17,19.1,45.09,17.93,52.79,4.07,94.2,17.79,42.77,18.64,50.16,17.07,46.79,4.88E+00,742.39,91,5,38.17,3.48E+00,20.51,20.51
1/12/2016 9:20,50,0,19.79,46.34,19,44.83,20.1,45.09,19.1,44.97,17.89,52.76,4.03,94.67,17.79,42.43,18.67,50.03,17.04,46.59,4.97E+00,742.47,91,5,36.34,3.57E+00,40.55,40.55
1/12/2016 9:30,30,0,19.79,46.07,19,44.65,20.1,45.17,19.04,44.77,17.89,52.04,4.09,95,17.79,42.23,18.6,49.83,17.04,46.39,5.05E+00,742.55,91,5,34.5,3.65E+00,30.25,30.25
1/12/2016 9:40,40,0,19.76,45.87,18.97,44.56,20.04,44.97,19,44.67,18,50.9,4.13,95.4,17.7,41.97,18.6,49.67,17,46.17,5.13E+00,742.64,91,5,32.67,3.73E+00,32.74,32.74
1/12/2016 9:50,30,0,19.7,45.79,18.97,44.44,20,44.9,19.07,44.59,18,50.43,4.27,95.8,17.7,41.83,18.6,49.59,17,46.03,5.22E+00,742.72,91,5,30.84,3.82E+00,17.66,17.66
1/12/2016 10:00,260,0,19.7,45.67,18.89,44.29,20,44.9,19.1,44.7,18,49.93,4.47,96.26,17.7,41.67,18.6,49.47,17,45.87,5.30E+00,742.8,91,5,29,3.90E+00,13.52,13.52
1/12/2016 10:10,500,0,19.7,45.59,18.89,44.23,19.89,44.9,19.17,45.03,18,49.66,4.73,96.47,17.7,41.59,18.54,49.4,17,45.73,5.48E+00,742.89,90.17,5,30.84,3.95E+00,49.64,49.64
1/12/2016 10:20,450,0,19.73,47.8,18.93,44.23,19.89,44.9,19.36,45.36,18,49.5,5.03,96.56,17.7,41.5,18.5,49.26,17,45.67,5.67E+00,742.97,89.34,5,32.67,4.00E+00,31.68,31.68
1/12/2016 10:30,50,10,19.79,48.8,19,44.37,19.89,44.87,19.7,45.56,18,49.56,5.16,96.5,17.7,41.4,18.5,49.2,17,45.47,5.85E+00,743.05,88.5,5,34.5,4.05E+00,10.67,10.67
1/12/2016 10:40,60,0,19.89,47.94,19.04,44.57,19.97,44.87,20,45.14,18.04,49.63,5.34,96.56,17.7,41.33,18.5,49.09,17.04,45.29,6.03E+00,743.14,87.67,5,36.34,4.10E+00,6.47,6.47
1/12/2016 10:50,60,0,19.89,47.16,19.04,44.57,19.93,44.79,20.07,44.86,18.1,49.57,5.4,96.3,17.7,41.26,18.5,49.09,17.04,45.23,6.22E+00,743.22,86.84,5,38.17,4.15E+00,23.91,23.91
1/12/2016 11:00,50,0,19.89,46.77,19.04,44.5,20,44.79,20.14,44.7,18.04,49.33,5.53,96.19,17.7,41.2,18.5,49,17.05,45.25,6.40E+00,743.3,86,5,40,4.20E+00,46.21,46.21
1/12/2016 11:10,50,0,20,46.3,19.1,44.5,20,44.79,20.2,44.63,18.1,49.33,5.8,96.19,17.73,41.03,18.5,48.94,17.1,45.29,6.50E+00,743.34,85.17,5.34,38,4.17E+00,29.94,29.94
1/12/2016 11:20,50,0,20,45.97,19.1,44.47,19.93,44.79,20.2,44.59,18.1,49.26,5.84,95.03,17.79,40.9,18.43,48.59,17.1,45.23,6.60E+00,743.37,84.34,5.67,36,4.13E+00,48.81,48.81
1/12/2016 11:30,60,0,20,46.23,19.1,44.4,19.95,44.79,20.14,44.47,18.1,49.13,5.97,94.57,17.79,40.7,18.5,48.47,17.1,45.2,6.70E+00,743.4,83.5,6,34,4.10E+00,36.59,36.59
1/12/2016 11:40,60,0,20,45.97,19.1,44.29,19.89,44.76,20.1,44.17,18.1,49.09,6.25,93.75,17.86,40.63,18.5,48.19,17.1,45.13,6.80E+00,743.44,82.67,6.34,32,4.07E+00,17.84,17.84
